id,nombre,apellido,direccion,sueldo,horas_capacitacion,fecha_ingreso,id_local
77,Pedro,Martínez,Boulevard 8 N° 286,22877.64,17,2019-06-27,2
78,Ana,Martínez,Calle J.J. Castelli N° 5831,43470.23,107,2021-09-15,9
79,Mateo,Rodríguez,Avenida Neuquén N° 1525,33835.1,166,2017-11-23,2
80,Sofía,Rodríguez,Av. Corrientes N° 653,11375.56,121,2022-10-13,4
81,Camila,Sánchez,Diagonal 5 N° 329,19584.55,131,2024-04-18,8
82,Mateo,López,Av. Güemes N° 616,3274.26,23,2023-09-09,8
83,Ana,Rodríguez,Diagonal Misiones N° 7777,22808.91,188,2019-10-03,3
84,Valentina,Rodríguez,Diagonal Rivadavia N° 971,47963.43,115,2022-10-13,9
85,Luis,García,Diagonal Bahía Blanca N° 54,5502.42,153,2019-09-30,5
86,Pedro,García,Blv. Merlo N° 8425,1861.28,41,2015-10-18,6
87,Luis,López,Diagonal 145 A N° 778,12096.31,5,2018-04-01,8
88,Lucas,Sánchez,Avenida Pte. Perón N° 946,17930.09,154,2020-03-04,8
89,Sofía,Fernández,Avenida La Rioja N° 89,22828.82,134,2023-05-11,10
90,María,García,Calle Malvinas Argentinas N° 4110,34753.55,21,2023-11-22,7
91,Luis,Pérez,Blv. 8 N° 81,15597.35,191,2020-11-26,4
92,Luis,López,Avenida San Luis N° 7432,3873.11,47,2015-07-19,9
93,Pedro,García,Av. Omar Nuñez N° 161,29777.96,200,2022-01-13,9
94,Pedro,Rodríguez,Calle 5 N° 4016,33259.27,40,2019-05-12,8
95,Pedro,Fernández,Boulevard Jujuy N° 1726,25375.66,184,2021-11-25,1
96,María,García,Diagonal Rosario N° 164,31512.16,178,2021-12-09,1
97,Mateo,Pérez,Blv. 7 N° 2763,28275.16,200,2022-03-02,4
98,Mateo,Sánchez,Diagonal Buenos Aires N° 938,11526.58,117,2016-05-13,9
99,María,García,Avenida Chaco N° 8027,32842.09,85,2022-12-12,9
100,Mateo,García,Avenida Salta N° 538,26106.25,128,2019-08-08,10
