id,nombre,apellido,direccion,sueldo,horas,fecha_ingreso
157,Sofía,Martínez,"Avenida Río Negro N° 686 Piso 2 Dto. 4 Posadas 3300, Misiones",53017,20,2017-11-27
158,Valentina,García,"Diagonal Entre Ríos N° 966 Comodoro Rivadavia 9000, Chubut",154637,38,2021-05-31
159,Luis,López,"Boulevard J.M. de Rosas N° 198 Torre 2 Dto. 2 Córdoba 5000, Córdoba",194064,31,2024-01-09
160,Sofía,Fernández,"Avenida 3 N° 405 Posadas 3300, Misiones",161235,35,2020-05-01
161,Camila,Rodríguez,"Boulevard 3 N° 728 Dto. 8 San Juan 5400, San Juan",78198,31,2015-12-14
162,Sofía,Martínez,"Av. Merlo N° 174 Piso 3 Dto. 3 San Miguel de Tucumán 4000, Tucumán",132124,28,2023-12-29
163,Camila,López,"Calle Posadas N° 7554 Piso 9 Dto. 6 Rosario 2000, Santa Fe",135912,20,2019-07-25
164,Sofía,López,"Diagonal Corrientes N° 212 Córdoba 5000, Córdoba",113867,23,2021-03-22
165,Juan,Fernández,"Av. Córdoba N° 44 San Ferando del Valle de Catamarca 4700, Catamarca",84175,23,2017-11-18
166,María,Sánchez,"Diagonal Santiago del Estero N° 396 Dto. 8 Santiago del Estero 4200, Santiago del Estero",110647,24,2023-08-13
167,Ana,Pérez,"Avenida Mitre N° 431 La Plata 1900, Buenos Aires",197984,24,2023-12-21
168,Mateo,García,"Avenida San Juan N° 41 Mar del Plata 7600, Buenos Aires",60355,30,2016-03-19
169,Luis,Rodríguez,"Camino San Juan N° 396 Local 10 Santa Fe 3000, Santa Fe",87459,34,2022-05-15
170,Sofía,Pérez,"Blv. Neuquén N° 92 Oficina 85 San Luis 5700, San Luis",158603,30,2016-07-26
171,Juan,Martínez,"Camino Constitución N° 496 San Salvador de Jujuy 4600, Jujuy",83187,25,2022-03-25
172,María,Martínez,"Calle 3 N° 149 Oficina 5 Viedma 8500, Río Negro",171582,40,2024-01-29
173,Luis,Pérez,"Calle 9 N° 403 San Juan 5400, San Juan",90121,38,2016-08-17
174,María,Fernández,"Diagonal Mar del Plata N° 14 Local 2 Merlo 5881, San Luis",55806,32,2019-08-28
175,Ana,García,"Blv. Güemes N° 792 Comodoro Rivadavia 9000, Chubut",108874,34,2020-04-15
176,Pedro,García,"Avenida Saavedra N° 289 Oficina 79 Corrientes 3400, Corrientes",89517,35,2021-05-25
177,Luis,López,"Diag. Corrientes N° 1987 Salta 4400, Salta",90167,32,2015-07-11
178,Luis,López,"Av. 5 N° 13 Piso 6 Dto. 5 San Salvador de Jujuy 4600, Jujuy",138208,22,2017-08-18
179,Luis,García,"Av. Omar Nuñez N° 608 Dto. 4 Santa Rosa 6300, La Pampa",71052,26,2018-01-29
180,Valentina,Fernández,"Calle Santa Rosa N° 7065 Piso 4 Dto. 5 Bahía Blanca 8000, Buenos Aires",191691,32,2021-06-18
181,Valentina,García,"Avenida 6 N° 68 Resistencia 3500, Chaco",100336,40,2018-12-11
182,Pedro,Martínez,"Calle Formosa N° 887 Piso 7 Dto. 5 Córdoba 5000, Córdoba",135082,37,2020-12-17
183,Pedro,Gómez,"Av. 8 N° 951 Santa Fe 3000, Santa Fe",114643,28,2019-08-07
184,María,García,"Calle 2 N° 160 Dto. 4 San Miguel de Tucumán 4000, Tucumán",134417,20,2019-07-06
185,Pedro,Fernández,"Boulevard La Pampa N° 781 Piso 7 Dto. 7 Viedma 8500, Río Negro",163869,28,2020-02-21
186,Lucas,López,"Avenida 198 Bis N° 462 Local 6 Posadas 3300, Misiones",62992,28,2024-08-13
187,Mateo,Sánchez,"Avenida Río Negro N° 6724 Mar del Plata 7600, Buenos Aires",86368,25,2017-12-07
188,Juan,Gómez,"Av. Misiones N° 719 Oficina 54 Santiago del Estero 4200, Santiago del Estero",195874,32,2024-04-20
189,María,Sánchez,"Av. Mitre N° 6284 San Miguel de Tucumán 4000, Tucumán",165335,40,2020-01-30
190,Luis,Sánchez,"Diagonal Salta N° 1889 Santiago del Estero 4200, Santiago del Estero",95539,28,2015-07-12
191,Valentina,García,"Diagonal San Ferando del Valle de Catamarca N° 2556 Chilecito 5360, La Rioja",94869,23,2017-12-23
192,Valentina,Gómez,"Av. 5 N° 67 Local 3 Paraná 3100, Entre Ríos",112656,40,2022-08-16
193,Luis,Fernández,"Av. Neuquén N° 278 Torre 6 Dto. 3 Paraná 3100, Entre Ríos",196954,33,2017-01-06
194,Luis,Fernández,"Av. Rivadavia N° 99 Viedma 8500, Río Negro",135433,37,2025-03-29
195,Lucas,Rodríguez,"Calle 2 N° 7699 Local 1 Santiago del Estero 4200, Santiago del Estero",180274,27,2015-06-30
196,Camila,Fernández,"Blv. Entre Ríos N° 69 Torre 9 Dto. 6 Rosario 2000, Santa Fe",185496,39,2023-07-16
197,Ana,Gómez,"Av. Salta N° 6787 Local 1 Salta 4400, Salta",67871,38,2025-04-09
198,Lucas,García,"Avenida Tucumán N° 6064 Local 14 Córdoba 5000, Córdoba",182508,28,2022-03-02
199,María,Pérez,"Diagonal Misiones N° 82 Formosa 3600, Formosa",181651,30,2020-04-11
200,Mateo,Fernández,"Avenida La Pampa N° 494 Rosario 2000, Santa Fe",155062,22,2025-03-24
